DBA,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,Latitude,Longitude,Emission_Level
VANGUARD WINE BAR,189,AMSTERDAM AVENUE,10023,French,40.776531455578,-73.983138405426,High
STARBUCKS,48,WEST   73 STREET,10023,Coffee/Tea,40.77772993905,-73.977462103756,Low
DUNKIN,535,AMSTERDAM AVENUE,10024,Donuts,40.787514499858,-73.975122320852,Low
ARTE CAFE & EL COCO,104-110,WEST   73 STREET,10023,Italian,40.778295614213,-73.978805097887,High
MARLOW BISTRO,1018,AMSTERDAM AVENUE,10025,Mediterranean,40.802879384567,-73.963937246851,Medium
BROADWAY PIZZA,2709,BROADWAY,10025,Pizza,40.799438779376,-73.968378102965,Low
SOLID STATE COFFEE,104,WEST   71 STREET,10023,Coffee/Tea,40.776832799747,-73.979574630813,Low
SUPER NICE COFFEE AND BAKERY,196,WEST  108 STREET,10025,Coffee/Tea,40.801660923586,-73.964602515389,Low
FELICE,240,COLUMBUS AVENUE,10023,Italian,40.776824501976,-73.979220791054,High
TEXAS ROTISSERIE & GRILL,2581,BROADWAY,10025,Chicken,40.795462379848,-73.971197086638,High
THE HEIGHTS BAR & GRILL,2867,BROADWAY,10025,Tex-Mex,40.805064848224,-73.966052792085,Medium
HI LIFE BAR & GRILL,477,AMSTERDAM AVENUE,10024,American,40.785585236733,-73.976534989596,High
LENWICH,302,COLUMBUS AVENUE,10023,American,40.778910231132,-73.977707233684,High
FRANCESCO PIZZERIA,186,COLUMBUS AVENUE,10023,Pizza,40.775090040816,-73.980495855488,Low
CAFE DU SOLEIL,245,WEST  104 STREET,10025,French,40.800004290459,-73.968717351713,High
MADE IN NEW YORK PIZZA,421,AMSTERDAM AVENUE,10024,Pizza,40.783957833302,-73.977712759219,Low
Santa Fe,73,WEST   71 STREET,10023,Tex-Mex,40.776448360581,-73.978621546726,Medium
TRUDY'S ICE CREAM,975,COLUMBUS AVENUE,10025,Frozen Desserts,40.800389276753,-73.962009836241,Low
DELICE MACARONS,321 1/2,AMSTERDAM AVENUE,10023,Bakery Products/Desserts,40.780645360257,-73.980129526749,Low
